shop_id,shop_name,address,city,state,visit_date,units,feedback,decision_maker,restock_status,test_case_placed,next_plan
fd12c07d-91a6-497e-bd5e-ba847f84acb9,"Mystic Smoke Shop - Kratom bar, Smoke, Vape, and Tobaccoo",2641 FL-590,Clearwater,FL,null,null,null,null,null,null,null
c5e0ea1c-65de-480a-b153-31f8c90a6fed,N7 Nitro Kava Bar & Smoke Shop,2913 28th St N,St Petersburg,FL,null,null,null,null,null,null,null
be9f8ed0-5676-41fe-aaaf-0575f3477cec,Nu Stellar Smoke Shop,146 49th St S,Clearwater,FL,null,null,null,null,null,null,null
548a3d02-17da-44a8-b410-089ef9245f9a,NU Vape & Glass Inc,1703 S Missouri Ave,Clearwater,FL,2026-08-25,0,Chad周日周一在；上周四来过一次；这次是第二次拜访，见到店里的负责人Chad；介绍了品牌和口味；有人不是很清醒；放了test station，让店员试了一下；跟Chad介绍了我们的情况，告诉他我们在7 star有货，留下了联系方式,Chad,7 star有货,true,
548a3d02-17da-44a8-b410-089ef9245f9a,NU Vape & Glass Inc,1703 S Missouri Ave,Clearwater,FL,2026-08-20,0,Chad周一20-25支/天；Serra周二40支/天,,,false,
4fb6ed9a-ff15-41f6-96d7-0ba8e2cb9bd7,OMG Smoke Shop & Cigar,1598 Achieva Way,Dunedin,FL,2026-08-25,0,店里有买一送一活动；老板自己在孔雀wholesale那边上班，自己开了这家店；老板大概周日的下午可能会在店里；给店员试了两个味道都不错，留下一个station；每天能卖个30来只,,,true,
70e78d83-3874-45cc-b889-723682d3c2ce,Pinellas Food & Smoke Shop,8191 66th St N,Pinellas Park,FL,2026-08-20,0,二次拜访，放test station,,,false,
70e78d83-3874-45cc-b889-723682d3c2ce,Pinellas Food & Smoke Shop,8191 66th St N,Pinellas Park,FL,2026-08-20,0,有意向换新品,,,false,
7d3f1758-d1d5-4093-95f3-6b742f84306c,Sam Smoke Shop,741 Clearwater Largo Rd,Largo,FL,null,null,null,null,null,null,null
3825cd19-fc60-42af-9194-caf702131d77,Save Well Mart And Smoke Shop,6595 66th St N,Pinellas Park,FL,null,null,null,null,null,null,null
901e439b-d411-4f4a-a51a-6150089c36be,Skyline Smoke Shop & Dispensary,9753 66th St N,Pinellas Park,FL,null,null,null,null,null,null,null
15a03d69-1048-4c87-bdf9-813791959d9d,Smoke and vape shop,737 49th Street N,St Petersburg,FL,null,null,null,null,null,null,null
c66a7fbb-30ee-4d8d-a0e2-1b556cdc751e,Smoke And Vape Shop,2034 16th St N,St Petersburg,FL,null,null,null,null,null,null,null
ee8a0e59-def5-48eb-a901-8429a053fa99,Smoke brothers,2005 Gulf To Bay Blvd,Clearwater,FL,2026-08-25,0,介绍了价格比较满意；一天卖大概20只；留下一个sample；店主说会打电话和自己的哥哥讲一下这个事儿,,,false,
464d4ae0-1021-45d4-aa12-eb16acf51a41,Smoke Rite Smoke Shop,11100 66th St N Unit 31,Largo,FL,2026-08-20,0,希望寄售，店很小,,,false,
fa334f07-4cd9-4055-90f7-dc507e9ae387,smoke shop zone,1498 Gulf To Bay Blvd,Dunedin,FL,2026-08-25,0,大连锁；留下test station，但当班店员不是很清楚店里情况也不抽烟；收银台边上垃圾桶里卖了挺多的,,,true,
37a104a5-1a83-48c5-a5e4-3e7ab4805e6d,Smoke Space,1285 San Christopher Dr,Dunedin,FL,null,null,null,null,null,null,null
3ab0d93d-22b0-4168-96db-77424fd69324,SPARK 8 Smoke Shop & Lounge,1500 Gulf To Bay Blvd,Clearwater,FL,2026-08-25,0,经理在忙装修；一天卖好几十支，甚至上百；留下test station给店员试抽三个味道；介绍价格都比较满意；老板随机出现,,,true,两周后7 star会有货
3179657b-4fcf-4c36-9bb0-9497aad5e130,Straight Pipes & Vapes,30139 US Hwy 19 N,Clearwater,FL,null,null,null,null,null,null,null
e662ec50-c4e2-49d4-a771-edded7981016,Strange Cloudz Vape And Smoke Shop,13355 S Belcher Rd A,Largo,FL,null,null,null,null,null,null,null
9b23999e-a6da-4179-bfd5-2779b8dd2d8d,Sun Flare Smoke and Kava Bar,910 W Bay Dr,Largo,FL,2026-08-20,0,二次拜访，放test station，从7 Star拿货,,,false,
